yyyy,cpi,gold,infl,tbill,ltyld10,ltrate,callmoney,aaa,baa,corprate,corprate.i,sp500index,sp500d12,sp500e12,vwm,vwmx,svar,bkmk,ntis,eqis,csp,cay,ik
1849,0.581,20.65,-3.14,5.92,5.63,,,,,,,,,,5.17,,,,,,,,
1850,0.562,20.65,2.16,6.29,4.98,,,,,,,,,,24.69,,,,,,,,
1851,0.575,20.65,-2.11,6.63,4.86,,,,,,,,,,1.86,,,,,,,,
1852,0.562,20.65,1.08,5.56,4.76,,,,,,,,,,25.49,,,,,,,,
1853,0.568,20.65,0,8.7,4.34,,,,,,,,,,-8.06,,,,,,,,
1854,0.568,20.65,8.68,7.48,4.48,,,,,,,,,,-26.22,,,,,,,,
1855,0.618,20.65,2.95,6.54,4.53,,,,,,,,,,6.72,,,,,,,,
1856,0.636,20.65,-1.91,7.55,4.45,,,,,,,,,,9.91,,,,,,,,
1857,0.624,20.65,2.92,6.8,5.21,,7,,,,,,,,-26.96,,,,,,,,
1858,0.642,20.65,-5.67,2.89,5.27,,4,,,,,,,,20.06,,,,,,,,
1859,0.606,20.65,1,5.45,4.85,,5.81,,,,,,,,-5.92,,,,,,,,
1860,0.612,20.65,0,5.69,4.8,,7.25,,,,,,,,19.46,,,,,,,,
1861,0.612,20.65,5.96,4.61,4.92,,6.5,,,,,,,,3.58,,,,,,,,
1862,0.648,20.65,14.17,3.95,5.24,,6,,,,,,,,62.38,,,,,,,,
1863,0.74,20.65,24.82,5.06,4.41,,7,,,,,,,,39.9,,,,,,,,
1864,0.924,20.65,25.14,6.22,4.68,,6.6,,,,,,,,10.35,,,,,,,,
1865,1.156,20.65,3.68,5.63,5.16,,6.8,,,,,,,,-3.26,,,,,,,,
1866,1.198,20.65,-2.53,4.97,5.76,,6.38,,,,,,,,8.86,,,,,,,,
1867,1.168,20.65,-6.82,5.87,5.26,,6.5,,,,,,,,7.69,,,,,,,,
1868,1.088,20.65,-3.9,6.46,5.37,,11.4,,,,,,,,16.31,,,,,,,,
1869,1.046,20.65,-4.14,7.16,5.32,,7.96,,,,,,,,5.41,,,,,,,,
1870,1.002,20.65,-4.24,5.01,5.52,,11.45,,,,,,,,10.81,,,,,,,,
1871,0.96,20.65,-4.08,5.89,5.44,9.38,10.25,8.21,,,9.94,4.74,0.26,0.4,11.74,,,,,,,,
1872,0.94,20.66,-2.11,7.43,5.35,7.79,20.06,8.16,,,8.67,5.07,0.3,0.43,12.24,,,,,,,,
1873,0.93,20.66,-0.59,9.01,5.5,5.08,7.88,8.37,,,6.26,4.42,0.33,0.46,-8.24,,,,,,,,
1874,0.91,20.66,-2.17,4.96,5.65,14.32,3.8,7.76,,,14.16,4.54,0.33,0.46,10.08,,,,,,,,
1875,0.88,20.66,-3.73,4.47,5.34,12.34,5.17,7.29,,,12.39,4.37,0.3,0.36,2.06,,,,,,,,
1876,0.84,20.66,-3.89,4.18,4.78,8.94,5,7.07,,,9.5,3.58,0.3,0.28,-12.52,,,,,,,,
1877,0.83,20.66,-1.95,4.23,4.53,7.52,6,6.97,,,8.08,3.25,0.19,0.3,-3.77,,,,,,,,
1878,0.8,20.66,-3.3,3.88,4.37,8.85,4.38,6.74,,,9.34,3.45,0.18,0.31,11.45,,,,,,,,
1879,0.77,20.65,-4.28,4.12,4.29,11.2,5.8,6.3,,,11.45,4.92,0.2,0.38,50.63,,,,,,,,
1880,0.76,20.66,-0.35,4.27,4.2,13.37,11.2,5.66,,,13.53,5.84,0.26,0.49,24.37,,,,,,,,
1881,0.77,20.66,1.34,4.24,3.84,4.89,6,5.67,,,5.55,6.01,0.32,0.44,7.46,,,,,,,,
1882,0.78,20.66,0.94,4.65,3.7,5.02,4.63,5.67,,,5.67,5.84,0.32,0.43,2.11,,,,,,,,
1883,0.77,20.66,-1.73,4.64,3.62,5.8,2.13,5.6,,,6.46,5.34,0.33,0.4,-3.4,,,,,,,,
1884,0.74,20.66,-3.45,4.25,3.65,5.58,1.5,5.55,,,6.17,4.34,0.31,0.31,-11.55,,,,,,,,
1885,0.72,20.66,-2.37,3.21,3.59,9.92,2.75,5.14,,,10.39,5.2,0.24,0.27,26.02,,2.37,,,,,,
1886,0.72,20.65,-0.92,3.84,3.42,6,8.7,5.01,,,6.69,5.64,0.22,0.33,12.29,,1.65,,,,,,
1887,0.72,20.65,0.04,4.75,3.41,2.95,5,5.14,,,3.47,5.27,0.25,0.36,-2.84,,1.83,,,,,,
1888,0.72,20.66,1.01,3.96,3.73,6.47,4.13,4.97,,,7.18,5.14,0.23,0.26,1.35,,1.29,,,,,,
1889,0.73,20.65,1,3.94,3.59,5.02,8,4.91,,,5.69,5.32,0.22,0.3,7.45,,0.69,,,,,,
1890,0.73,20.66,-0.37,4.63,3.34,1.39,5,5.15,,,2.08,4.6,0.22,0.29,-10.45,,2.26,,,,,,
1891,0.73,20.68,-0.5,4.42,3.64,5.81,2.94,5.05,,,6.34,5.41,0.22,0.34,23.02,,1.61,,,,,,
1892,0.73,20.68,0.04,3.25,3.66,5.27,6.81,4.98,,,5.89,5.51,0.24,0.37,5.66,,1.09,,,,,,
1893,0.72,20.68,-0.51,5.71,3.61,4.48,1.16,4.97,,,5.1,4.41,0.25,0.26,-16.09,,5.46,,,,,,
1894,0.7,20.66,-2.58,2.28,3.67,7.48,1.44,4.72,,,8.04,4.3,0.21,0.16,1.53,,1.67,,,,,,
1895,0.68,20.65,-3.36,2.85,3.47,4.49,4.56,4.69,,,5.09,4.32,0.19,0.25,4.77,,2.87,,,,,,
1896,0.67,20.71,-1.13,4.8,3.31,4.12,1.95,4.7,,,4.57,4.22,0.18,0.21,1.7,,4.64,,,,,,
1897,0.67,20.71,-0.55,2.7,3.12,7.27,2.92,4.44,,,7.97,4.75,0.18,0.31,17.2,,2.28,,,,,,
1898,0.67,20.71,-0.56,2.98,3.2,5.28,2.41,4.33,,,5.84,5.65,0.2,0.35,22.88,,3.24,,,,,,
1899,0.67,20.66,0.04,3.29,3.08,3.09,11.13,4.38,,,3.7,6.02,0.21,0.48,10.28,,2.71,,,,,,
1900,0.67,20.68,0.64,3.5,3.17,5.33,4.15,4.29,,,5.49,6.87,0.3,0.48,18.82,,1.72,,,,,,
1901,0.68,20.71,1.24,3.41,3.25,3.87,5.13,4.27,,,4.57,7.95,0.32,0.5,19.99,,3.73,,,,,,
1902,0.69,20.69,1.23,3.99,3.47,2.38,6.25,4.3,,,3.97,8.05,0.33,0.63,4.93,,1.34,,,,,,
1903,0.7,20.67,1.8,4.49,3.4,2.37,6.81,4.52,,,1.46,6.57,0.35,0.53,-14.93,,2.47,,,,,,
1904,0.71,20.68,1.76,3.34,3.51,5.54,5.5,4.3,,,7.36,8.25,0.31,0.49,30.91,,1.27,,,,,,
1905,0.71,20.64,0.04,3.51,3.76,3.65,3.13,4.23,,,5.23,9.54,0.33,0.67,20.01,,1.56,,,,,,
1906,0.72,20.62,0.61,4.69,4.22,2.19,16.5,4.44,,,1.53,9.84,0.4,0.76,6.91,,1.71,,,,,,
1907,0.74,20.66,3.27,5.3,3.88,-1.06,14,5.01,,,-2.38,6.57,0.44,0.66,-30.17,,4.8,,,,,,
1908,0.75,20.67,1.13,3.49,3.89,9.15,14.6,4.51,,,11.33,9.03,0.4,0.58,44.47,,2.01,,,,,,
1909,0.74,20.68,-1.57,3.13,4.01,3.49,2.9,4.52,,,4.29,10.3,0.44,0.76,19.71,,1,,,,,,
1910,0.75,20.64,1.68,4.08,4,3.16,5.03,4.61,,,3.44,9.05,0.47,0.73,-8.36,,1.89,,,,,,
1911,0.76,20.64,2.19,3.17,4.24,3.89,3.38,4.6,,,4.72,9.11,0.47,0.59,5.57,,0.78,,,,,,
1912,0.77,20.65,1.09,3.83,4.37,2.86,4.03,4.67,,,3.75,9.38,0.48,0.7,8.01,,0.65,,,,,,
1913,0.79,20.64,2.37,4.6,4.24,1.26,6.5,4.88,,,2.11,8.04,0.48,0.63,-9.56,,1.07,,,,,,
1914,0.8,20.72,0.96,3.87,4.2,2.76,4.58,4.82,,,5.62,7.35,0.42,0.52,-3.99,,1.16,,,,,,
1915,0.81,20.72,1.95,2.65,4.28,6.53,3.38,4.71,,,6.22,9.48,0.43,0.88,35.5,,1.91,,,,,,
1916,0.91,20.72,11.54,2.63,4.19,5.93,1.93,4.65,,,5.37,9.8,0.56,1.53,9.96,,1.78,,,,,,
1917,1.07,20.72,18.25,3.82,4.53,-5.81,4.44,5.35,,,-3.38,6.8,0.69,1.28,-24.78,,3.56,,,,,,
1918,1.29,20.72,20.28,4.86,4.97,8.27,5.16,5.23,,,6.66,7.9,0.57,0.99,25.26,,1.54,,,,,,
1919,1.48,20.7,14.58,4.45,4.9,-1.19,5.39,5.73,7.77,,-0.34,8.92,0.53,0.93,19.47,,2.45,,,,,,
1920,1.51,20.68,2.12,5.88,5.4,-0.33,8.85,6.26,8.56,,0.04,6.81,0.51,0.8,-19.13,,3.34,,,,,,
1921,1.35,20.58,-10.79,3.9,4.47,14.81,7,5.5,7.61,,14.96,7.31,0.46,0.29,14.25,,1.9,59.65,,,,,
1922,1.31,20.66,-2.55,3.65,4.32,9.83,5.14,5.08,7.02,,10.49,8.78,0.51,0.69,26.95,,1.47,47.26,,,,,
1923,1.35,21.32,2.56,3.88,4.35,4.6,4.66,5.09,7.38,,4.96,8.55,0.53,0.98,3.27,,1.57,54.02,,,,,
1924,1.34,20.69,-0.2,2.57,3.96,6.31,4.86,4.95,6.46,,6.77,10.16,0.55,0.93,25.54,,1.07,45.89,,,,,
1925,1.4,20.64,3.83,3.51,3.81,5.71,3.49,4.85,6.15,,6.16,12.46,0.6,1.25,29.08,,1.35,38.94,,,,,
1926,1.37,20.63,-1.51,3.07,3.56,7.77,5.32,4.68,5.68,7.37,6.94,13.49,0.69,1.24,12.21,6.61,1.65,44.15,4.64,,,,
1927,1.35,20.64,-2.12,3.17,3.15,8.94,5.16,4.46,5.32,7.44,7.44,17.66,0.77,1.11,35.83,29.41,0.94,37.47,7.4,26.55,,,
1928,1.33,20.66,-0.98,4.26,3.44,0.08,4.38,4.61,5.6,2.84,2.6,24.35,0.85,1.38,38.96,33.43,1.98,25.97,4.26,49.74,,,
1929,1.34,20.63,0.18,3.03,3.35,3.41,8.6,4.67,5.95,3.27,3.87,21.45,0.97,1.61,-8.53,-11.86,12.29,33.85,16.56,72.06,,,
1930,1.25,20.65,-6.07,1.48,3.2,4.64,4.83,4.52,6.71,7.98,6.54,15.34,0.98,0.97,-26.33,-29.62,6.59,55.47,13.15,30.78,,,
1931,1.13,17.06,-9.57,2.41,3.94,-5.32,2.23,5.32,10.42,-1.85,-4.78,8.12,0.82,0.61,-45.54,-48.93,15.98,117.07,-1.1,14.47,,,
1932,1.02,20.69,-10.36,0.04,3.34,16.85,2.7,4.59,8.42,10.82,14.38,6.89,0.5,0.41,-8.87,-14.8,30.95,144.21,-0.4,3.73,,,
1933,1.02,26.33,0.43,0.29,3.52,-0.07,1,4.5,7.75,10.38,5.72,10.1,0.44,0.44,53.54,47.55,22.45,82.9,0.74,40.11,,,
1934,1.04,34.69,2.01,0.23,2.98,10.01,0.94,3.81,6.23,13.84,13.69,9.5,0.45,0.49,-2.57,-6.26,6.68,77.37,2.2,7.13,,,
1935,1.07,34.84,2.96,0.15,2.8,5,1,3.44,5.3,9.61,8.91,13.43,0.47,0.76,45.73,40.08,3.56,55.99,0.97,6.62,,,
1936,1.09,34.87,1.2,0.12,2.54,7.5,0.75,3.1,4.53,6.74,8.28,17.18,0.72,1.02,33.62,28.15,3.15,45.86,2.43,12.06,,,
1937,1.12,34.79,3.09,0.11,2.69,0.23,1,3.21,5.73,2.75,1.55,10.55,0.8,1.13,-36.02,-39.44,9.98,70.75,2.71,31.24,0.28,,
1938,1.09,34.85,-2.8,0.03,2.51,5.51,1,3.08,5.27,6.13,5.06,13.21,0.51,0.64,29.31,24.27,11.22,57.2,0.54,4.49,0.42,,
1939,1.08,34.42,-0.5,0.04,2.29,5.95,1,2.94,4.92,3.97,5.1,12.49,0.62,0.9,-1.07,-5.63,6.66,58.07,0.34,8.55,0.61,,
1940,1.09,33.85,0.95,0.02,1.94,6.09,1,2.71,4.45,3.39,6.34,10.58,0.67,1.05,-9.75,-15.14,4.81,72.9,2.86,11.87,0.43,,
1941,1.2,33.85,9.65,0.33,2.42,0.93,1,2.8,4.38,2.73,1.39,8.69,0.71,1.16,-11.73,-17.96,2.24,88.95,-0.43,11.42,0.34,,
1942,1.31,33.85,9.24,0.38,2.44,3.22,1,2.81,4.28,2.6,2.65,9.77,0.59,1.03,20.89,12.93,1.8,86.26,0.23,12.38,0.51,,
1943,1.35,33.85,3.13,0.38,2.44,2.09,1,2.74,3.82,2.83,3.84,11.67,0.61,0.94,26.64,20.31,1.59,78.74,1.54,16.43,0.2,,
1944,1.38,33.85,2.1,0.38,2.43,2.82,1,2.7,3.49,4.73,3.33,13.28,0.64,0.93,21.15,15.11,0.84,74.38,1.66,16.45,0.35,,
1945,1.41,34.71,2.24,0.38,2.27,10.73,1,2.61,3.1,4.08,4.04,17.36,0.66,0.96,36.71,31.01,1.59,61.32,2.45,21.17,0.43,-4.09,
1946,1.66,34.71,17.87,0.38,2.17,-0.08,1,2.61,3.17,1.72,2.61,15.3,0.71,1.06,-9.29,-12.85,4.58,69.24,3.78,31.85,0.18,5.8,
1947,1.81,34.71,8.99,0.95,2.33,-2.63,1.38,2.86,3.52,-2.34,-1.03,15.3,0.84,1.61,4.91,-0.65,1.93,72.53,2.81,23.96,0.48,7.41,3.43
1948,1.86,34.71,2.73,1.16,2.38,3.39,1.38,2.79,3.53,4.14,3.89,15.2,0.93,2.29,5.26,-0.84,2.21,84.09,1.51,15.71,0.16,5.65,3.48
1949,1.83,31.69,-1.83,1.1,2.12,6.44,1.63,2.58,3.31,3.31,5.93,16.76,1.14,2.32,18.06,9.77,1.23,79.64,2.72,19.19,0.43,4.98,2.89
1950,1.93,34.72,5.8,1.34,2.33,0.05,1.63,2.67,3.2,2.12,1.24,20.41,1.47,2.84,32.95,23.03,2.15,72.25,3.14,22.7,0.57,0.47,3.44
1951,2.05,34.72,5.96,1.73,2.66,-3.94,1.63,3.01,3.61,-2.69,-2.21,23.77,1.41,2.44,23.42,16.02,1.22,72.13,3.61,26.48,0.41,0.61,3.25
1952,2.06,34.6,0.91,2.09,2.71,1.17,2.38,2.97,3.51,3.52,3.59,26.57,1.41,2.4,18.94,12.28,0.66,69.41,2.65,20.25,0.34,0.51,3.18
1953,2.08,34.84,0.6,1.6,2.59,3.63,2.63,3.13,3.74,3.41,0.7,24.81,1.45,2.51,-1.71,-7.3,0.83,75.97,2.48,20.4,0.28,-0.7,3.31
1954,2.07,35.04,-0.37,1.15,2.51,7.18,3.25,2.9,3.45,5.39,6.47,35.98,1.54,2.77,52.65,44.99,0.84,60.41,2.67,21.32,0.28,0.89,3.16
1955,2.08,35.03,0.37,2.54,2.96,-1.28,3,3.15,3.62,0.48,-0.64,45.48,1.64,3.62,31.3,25.79,2.16,50.98,2.52,27.54,0.02,-0.91,3.58
1956,2.14,34.99,2.83,3.21,3.59,-5.59,3.63,3.75,4.37,-6.81,-4.89,46.67,1.74,3.41,6.43,2.18,1.39,54.42,2.62,26.85,0.1,-1.64,3.45
1957,2.2,34.95,3.04,3.04,3.21,7.47,4.5,3.81,5.03,8.71,2.95,39.99,1.79,3.37,-10.81,-14.7,1.75,65.37,3.47,22.7,0.07,-0.92,3.32
1958,2.24,35.1,1.76,2.77,3.86,-6.11,4.5,4.08,4.85,-2.22,0.3,55.21,1.75,2.89,43.74,38.28,0.85,51.18,2.37,16.48,0.16,0.37,2.95
1959,2.27,35.1,1.52,4.49,4.69,-2.27,3.75,4.58,5.28,-0.97,-2.13,59.89,1.83,3.39,12.4,8.81,0.84,45.78,2.29,26.24,0.1,0.35,3.15
1960,2.3,35.27,1.36,2.25,3.84,13.79,4.75,4.35,5.1,9.07,7.5,58.11,1.95,3.27,0.59,-2.85,1.01,55.04,2.27,20.42,-0.14,0.94,3.13
1961,2.32,35.25,0.67,2.6,4.06,0.97,4.5,4.42,5.1,4.82,3.47,71.55,2.02,3.19,27.11,23.36,0.65,50.59,2.23,28.44,-0.22,0.49,3.18
1962,2.35,35.23,1.23,2.87,3.86,6.88,4.5,4.24,4.92,7.95,6.73,63.1,2.13,3.67,-8.75,-11.84,2.85,59.16,1.99,16.22,-0.28,0.43,3.27
1963,2.39,35.09,1.65,3.52,4.13,1.21,4.5,4.35,4.85,2.19,2.85,75.02,2.28,4.02,22.69,18.78,0.74,52.56,0.9,11.15,-0.15,0.37,3.47
1964,2.42,35.1,1.2,3.84,4.18,3.51,4.5,4.44,4.81,4.77,3.22,84.75,2.5,4.55,16.68,13.19,0.28,48.72,2.31,22.15,-0.24,-0.75,3.69
1965,2.46,35.12,1.92,4.38,4.62,0.7,4.5,4.68,5.02,-0.46,1.49,92.43,2.72,5.19,12.61,9.22,0.46,43.06,2.08,14.21,-0.08,-1.32,4.18
1966,2.54,35.13,3.36,4.96,4.84,3.65,4.97,5.39,6.18,0.2,-3.53,80.33,2.87,5.55,-10.2,-13.21,1.39,57.69,1.72,13.9,0,-1.22,4.18
1967,2.63,34.95,3.28,4.97,5.7,-9.18,6.25,6.19,6.93,-4.95,-3.25,96.47,2.92,5.33,23.96,20.1,0.7,52.58,1.44,11.47,0.3,-3.03,3.9
1968,2.75,38.69,4.71,5.96,6.03,-0.26,6,6.45,7.23,2.57,3.44,103.86,3.07,5.76,10.83,7.43,0.74,50.49,3.2,20.86,0.23,-3.78,3.9
1969,2.91,41.09,5.9,7.82,7.65,-5.07,6.5,7.72,8.65,-8.09,-5.65,92.06,3.16,5.78,-8.32,-11.31,1,65.11,3.43,31.4,0.08,-2.64,3.91
1970,3.08,35.94,5.57,4.87,6.39,12.1,8.5,7.64,9.12,18.37,8.49,92.15,3.14,5.13,3.99,0.16,2.3,64.64,3.15,22.29,0.15,-3.06,3.55
1971,3.18,40.8,3.27,4.01,5.93,13.24,,7.25,8.38,11.01,11.5,102.09,3.07,5.7,14.45,10.91,1.05,64.39,3.4,28.74,0.23,-4.64,3.58
1972,3.29,58.16,3.41,5.07,6.36,5.68,,7.08,7.93,7.26,8.95,118.05,3.15,6.42,19.12,15.76,0.64,59.57,3.42,31.13,0.03,-4.83,3.84
1973,3.58,97.32,8.94,7.45,6.74,-1.11,,7.68,8.48,1.14,1.35,97.55,3.38,8.16,-14.8,-17.49,2.51,75.56,1.3,33.31,-0.06,-4.85,4.04
1974,4.01,159.26,12.1,7.15,7.43,4.34,,8.89,10.63,-3.06,-2.85,68.56,3.6,8.89,-26.43,-29.66,4.8,112,0.88,16.31,-0.08,-2.57,3.65
1975,4.3,161.02,7.13,5.44,8,9.19,,8.79,10.56,14.64,9.77,90.19,3.68,7.96,36.96,31.37,2.43,87.63,2.37,20.26,-0.05,-2.61,3.28
1976,4.51,124.84,5.04,4.35,6.87,16.76,,7.98,9.12,18.65,16.35,107.46,4.05,9.91,23.92,19.12,1.25,78,2.86,20.79,-0.11,-1.86,3.41
1977,4.82,147.71,6.68,6.07,7.69,-0.7,,8.19,8.99,1.71,6.05,95.1,4.67,10.89,-7.43,-11.69,0.83,96.03,3.05,21.89,-0.18,-1.23,3.7
1978,5.25,193.22,8.99,9.08,9.01,-1.17,,9.16,9.94,-0.07,-0.08,96.11,5.07,12.33,6.41,0.94,1.58,104.57,1.49,21.94,-0.15,-1.1,4.1
1979,5.94,306.68,13.25,12.04,10.39,-1.25,,10.74,12.06,-4.2,-2.85,107.94,5.65,14.86,18.59,12.28,1.18,106.2,1.05,22.01,-0.04,-0.71,4.06
1980,6.68,612.56,12.35,15.49,12.84,-3.95,,13.21,15.14,-2.76,-5.16,135.76,6.16,14.82,32.59,25.98,2.73,89.15,2.68,27.8,0.1,-0.6,3.79
1981,7.27,460.03,8.91,10.85,13.72,1.86,,14.23,16.55,-1.24,7.05,122.55,6.63,15.36,-4.86,-9.65,1.81,106.11,1.19,36.22,-0.13,0.29,3.91
1982,7.55,375.67,3.83,7.94,10.54,40.35,,11.83,14.14,42.56,31.15,140.64,6.87,12.64,22.14,15.39,3.34,93.22,0.3,36.48,-0.13,0.69,3.32
1983,7.84,424.35,3.79,9,11.83,0.65,,12.57,13.75,6.26,6.86,164.93,7.09,14.03,22.29,17.02,1.79,70.04,2.7,43,-0.17,2.32,3.56
1984,8.16,360.48,4.04,8.06,11.5,15.49,,12.13,13.4,16.86,15.61,167.24,7.53,16.64,6.69,1.84,1.63,73.31,-2.72,17.07,-0.11,1.42,3.89
1985,8.46,317.26,3.79,7.1,9.26,30.97,,10.16,11.58,30.09,27.74,211.28,7.9,14.61,31.98,26.62,1.05,59.27,-1.95,17.65,-0.17,2.38,3.79
1986,8.56,367.66,1.19,5.53,7.11,24.52,,8.49,9.97,19.85,25.14,242.17,8.28,14.48,18.07,13.87,2.17,49.84,-1.14,16.47,-0.22,1.11,3.47
1987,8.94,446.46,4.33,5.77,8.99,-2.72,,10.11,11.29,-0.27,-4.39,247.08,8.81,17.5,5.16,1.64,10.33,50.88,1.33,15.04,-0.27,2.2,3.43
1988,9.33,436.94,4.41,8.07,9.11,9.67,,9.57,10.65,10.7,14.58,277.72,9.73,23.75,16.96,12.06,2.93,46.53,-2.15,11.46,-0.23,2.17,3.46
1989,9.76,381.44,4.64,7.63,7.84,18.1,,8.86,9.82,16.23,15.76,353.4,11.05,22.87,31.37,26.75,1.72,39.05,-1.23,9.78,-0.29,2.73,3.48
1990,10.37,383.51,6.25,6.74,8.08,6.17,,9.05,10.43,6.78,7.23,330.22,12.09,21.34,-3.19,-6.62,2.55,48.45,-0.18,7.83,-0.23,3.39,3.29
1991,10.68,362.11,2.98,4.07,7.09,19.26,,8.31,9.26,19.89,15.78,417.09,12.2,15.97,30.67,26.6,2.07,42.03,3.16,15.28,-0.13,2.7,3.05
1992,11,343.82,2.97,3.22,6.77,8.05,,7.98,8.81,9.39,11.39,435.71,12.38,19.09,7.72,4.59,0.94,39.41,3.87,15.02,-0.11,1.81,3.24
1993,11.31,359.77,2.81,3.06,5.77,18.23,,6.93,7.69,13.19,18.64,466.45,12.58,21.89,9.89,6.86,0.74,30.53,4.57,14.41,-0.1,2.9,3.42
1994,11.6,384,2.6,5.6,7.81,-7.78,,8.46,9.1,-5.76,-6.83,459.27,13.18,30.6,1.36,-1.49,0.97,29.16,1.66,12.04,-0.06,3.96,3.61
1995,11.9,384.17,2.53,5.14,5.71,31.66,,6.82,7.49,27.2,25.26,615.93,13.79,33.96,37.66,34.26,0.64,25.5,1.56,12.12,-0.01,3.56,3.71
1996,12.3,387.77,3.38,4.91,6.3,-0.92,,7.2,7.89,1.4,3.05,740.74,14.9,38.73,23.22,20.54,1.41,20.73,2.41,19.87,-0.04,3.87,3.94
1997,12.51,330.98,1.7,5.16,5.81,15.87,,6.76,7.32,12.95,11.73,970.43,15.49,39.72,33.61,31.27,3.32,17.88,1.56,14.27,-0.09,2.9,4.13
1998,12.71,294.24,1.61,4.39,4.65,13.07,,6.22,7.23,10.76,12.57,1229.23,16.2,37.71,29.3,27.39,4.13,17.36,2.01,12.07,-0.1,1.24,4.28
1999,13.05,278.98,2.68,5.2,6.28,-8.99,,7.55,8.19,-7.45,-6.62,1469.25,16.69,48.17,21.35,19.79,3.27,14.72,1.8,13.85,0.01,0.5,4.29
2000,13.5,279.11,3.44,5.77,5.24,21.49,,7.21,8.02,12.85,10.92,1320.28,16.27,50,-8.35,-9.39,4.92,15.19,-0.64,14.1,-0.05,1.1,4.32
