Date,Mwig40tr,TBSP,EDO,ACWI,GovBondG7,GlobalCorporate,Gold,GABHDG,EURO_STOXX_Leverage,Fallen_Angels,Euro_Corporate_Bond
2021-02-01,0.033,0.003,0.004,0.015,-0.032,-0.022,-0.072,-0.026,0.129,-0.004,-0.017
2021-03-01,0.050,-0.012,0.004,0.062,0.013,0.014,0.003,-0.019,0.115,0.023,0.002
2021-04-01,0.012,-0.000,0.004,0.038,0.005,0.009,0.040,0.038,0.064,0.014,0.025
2021-05-01,0.035,-0.002,0.004,-0.010,-0.018,-0.015,0.047,-0.007,0.023,-0.017,-0.017
2021-06-01,0.098,-0.007,0.004,0.022,0.001,0.010,-0.064,-0.026,0.005,0.014,0.000
2021-07-01,-0.009,0.003,0.004,0.016,0.025,0.021,0.044,0.022,0.022,0.018,0.000
2021-08-01,0.028,0.006,0.004,0.042,0.011,0.011,0.010,0.007,0.065,0.020,0.000
2021-09-01,0.060,-0.003,0.004,-0.030,-0.010,-0.004,-0.028,-0.028,-0.077,0.004,0.000
2021-10-01,0.004,-0.011,0.004,0.065,0.009,0.014,0.029,0.017,0.126,0.014,0.000
2021-11-01,0.088,-0.032,0.004,0.001,0.027,0.017,0.046,-0.002,-0.086,0.006,0.000
2021-12-01,-0.066,-0.025,0.004,0.054,0.006,0.017,0.022,0.009,0.127,0.031,0.000
2022-01-01,-0.005,-0.021,0.004,-0.049,-0.021,-0.031,-0.014,-0.035,-0.072,-0.035,0.000
2022-02-01,-0.035,-0.005,0.004,-0.031,-0.016,-0.026,0.058,-0.014,-0.121,-0.025,0.000
2022-03-01,-0.100,-0.003,0.004,0.059,-0.001,0.010,0.053,-0.005,0.004,0.023,0.000
2022-04-01,0.041,-0.042,0.006,-0.042,-0.016,-0.020,0.024,-0.066,-0.053,-0.012,0.000
2022-05-01,-0.080,-0.039,0.006,-0.009,-0.011,-0.005,-0.048,0.008,0.027,-0.008,0.000
2022-06-01,0.006,0.002,0.006,-0.073,-0.018,-0.025,-0.000,-0.051,-0.187,-0.055,0.000
2022-07-01,-0.060,-0.010,0.007,0.118,0.062,0.074,0.008,0.047,0.180,0.088,0.000
2022-08-01,0.033,0.050,0.007,-0.009,-0.015,-0.010,0.006,-0.031,-0.094,0.007,0.000
2022-09-01,-0.075,-0.017,0.007,-0.075,-0.028,-0.034,-0.004,-0.054,-0.114,-0.023,0.000
2022-10-01,-0.074,-0.021,0.009,0.072,0.004,0.008,-0.009,0.021,0.219,0.025,0.000
2022-11-01,0.077,-0.035,0.009,0.000,-0.032,-0.021,-0.007,0.017,0.165,-0.035,0.000
2022-12-01,0.075,0.069,0.009,-0.074,-0.038,-0.035,-0.004,-0.005,-0.096,-0.028,0.000
